index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36047000501,4759.0,2359.0,2400.0,0.0706,0.7101000000000001,0.0604,0.0,0.0908,0.08,3000501.0,['73 CLARK ST'],['LinkNYC - Citybridge'],5,['Brooklyn'],1
36047000502,2600.0,1296.0,1304.0,0.0803,0.7506,0.030699999999999998,0.0,0.0908,0.0703,3000502.0,['280 CADMAN PLAZA WEST'],['BPL'],502,['Brooklyn'],3
36047000900,4162.0,1967.0,2195.0,0.0707,0.6809000000000001,0.05,0.0,0.1208,0.0707,3000900.0,['110 Livingston St.'],['Downtown Brooklyn'],9,['Brooklyn'],14
36047001100,967.0,518.0,449.0,0.0904,0.5705,0.0907,0.0207,0.1609,0.0808,3001100.0,['2 Metrotech Center'],['Downtown Brooklyn'],11,['Brooklyn'],37
36047001300,2562.0,1420.0,1142.0,0.17059999999999997,0.5807,0.1007,0.0,0.1107,0.35,3001300.0,['300 Jay Street'],['City Tech'],13,['Brooklyn'],17
36047001500,5962.0,2875.0,3087.0,0.2309,0.3102,0.24059999999999998,0.0,0.1709,0.26030000000000003,3001500.0,['1 Dekalb Ave.'],['Downtown Brooklyn'],15,['Brooklyn'],25
36047002901,3532.0,1457.0,2075.0,0.29,0.0109,0.45039999999999997,0.0,0.2205,0.5309,3002901.0,['64 St Edwards St'],['NYCHA'],2901,['Brooklyn'],14
36047003100,2837.0,1196.0,1641.0,0.1401,0.24059999999999998,0.3801,0.0,0.1609,0.030299999999999997,3003100.0,['1 University Plaza (LIU)'],['Downtown Brooklyn'],31,['Brooklyn'],6
36047003300,3157.0,1536.0,1621.0,0.21,0.5508,0.12,0.0,0.0705,0.17,3003300.0,['34 Dekalb Ave. (Pole)'],['Downtown Brooklyn'],33,['Brooklyn'],9
36047003400,3038.0,1483.0,1555.0,0.1508,0.6704000000000001,0.0101,0.0,0.1406,0.2,3003400.0,['Comfort station - Front Left'],['SPECTRUM'],34,['Brooklyn'],3
36047003500,1550.0,707.0,843.0,0.1107,0.3407,0.41090000000000004,0.0,0.0601,0.060599999999999994,3003500.0,['20 Lafayette Ave.'],['Downtown Brooklyn'],35,['Brooklyn'],7
36047003700,1087.0,561.0,526.0,0.1008,0.7208,0.0207,0.0,0.1002,0.1005,3003700.0,['1 Boerum Place'],['Downtown Brooklyn'],37,['Brooklyn'],28
